.interval,.observations,.portfolio_tickers,id_carteira,.market_ticker,shapiro_w,shapiro_p,adf_stat,adf_lag_order,adf_p
week,26,,15,^BVSP,0.9800015621803181,0.002041929875962072,-2.970647156951689,6,0.16783093769766083
week,52,,15,^BVSP,0.9920840336477019,0.315007582340084,-2.573449764269285,5,0.3356218016549132
week,104,,15,^BVSP,0.92132560840758,1.4126730759402502e-7,-2.8417399833961396,5,0.22536641993280945
month,3,,15,^GSPC,0.9071071205389925,8.318878615197093e-4,-3.0609899593380017,3,0.1487003773212991
month,6,,15,^GSPC,0.89619347276795,5.457466813517372e-4,-2.888432124768997,3,0.220011107882448
month,12,,15,^GSPC,0.9800520212893704,0.6774908920649425,-2.4959470791147673,3,0.37848689120363144
month,24,,15,^GSPC,0.8000954936930686,8.385402260704552e-5,-2.0196627794927497,3,0.5650708148388922
week,13,,15,^GSPC,0.9840571036065565,0.015527739949812885,-3.458199710829183,5,0.04777710540026609
week,26,,15,^GSPC,0.9802722525245124,0.0059447204860545375,-3.2586369235016677,5,0.07962717941638876
week,52,,15,^GSPC,0.9185401317339005,2.2704415746988482e-8,-3.4789187847175684,5,0.04638227661336755
week,104,,15,^GSPC,0.7255167883989813,5.4969181787735126e-14,-4.035134244699842,4,0.01
month,3,,16,^BVSP,0.9348816011101007,0.004289418988355464,-2.6489988863461575,3,0.31279044327369077
month,6,,16,^BVSP,0.9533009924289652,0.03470569508510756,-1.5813647572745002,3,0.7431072262285542
month,12,,16,^BVSP,0.9095603184783424,0.001298855848462357,0.1725364875102763,3,0.99
month,24,,16,^BVSP,0.908061931075513,0.005710639920854822,-2.954824512407837,3,0.2016247033432542
week,13,,16,^BVSP,0.9729821763965605,1.127388051347556e-4,-3.560934706733082,6,0.03744863856944014
week,26,,16,^BVSP,0.9667426659981969,2.5433206068207215e-5,-2.8800561997314915,6,0.20591436690215795
week,52,,16,^BVSP,0.9650633182812102,4.690054894761826e-5,-3.1782371608113382,5,0.09287158430922138
week,104,,16,^BVSP,0.959538224832383,1.4551943461188534e-4,-2.676007773697728,5,0.294471896717303
month,3,,16,^GSPC,0.9446250235935348,0.02061362298137522,-3.2989745606341097,3,0.08187584567255762
month,6,,16,^GSPC,0.9782232639789264,0.5209419085074378,-2.2905167563875026,3,0.4582718643604293
month,12,,16,^GSPC,0.9526491947909337,0.0867242363972729,-2.4203351871163847,3,0.4082260817634672
month,24,,16,^GSPC,0.8905812596339416,0.005871629349044246,-2.2545289150640153,3,0.47503204329537463
week,13,,16,^GSPC,0.9884239266172494,0.07823236899343607,-3.044854325997487,5,0.1376769127086227
week,26,,16,^GSPC,0.9865453260712299,0.051107252090181375,-2.784029791836024,5,0.24762053127942016
week,52,,16,^GSPC,0.9678957363644447,4.19906635440389e-4,-3.1076129976625864,5,0.11347552496514729
week,104,,16,^GSPC,0.7765293248474688,1.6220909183647286e-12,-3.5076314179344923,4,0.04450583291776623
month,3,,17,^BVSP,0.830304255577257,1.3877728945184881e-6,-3.3060403235086615,3,0.0795906291705508
month,6,,17,^BVSP,0.9541024009023338,0.03764863368301793,-2.4014050084994634,3,0.41284534494584657
month,12,,17,^BVSP,0.9305150051318307,0.007123534266127718,-2.0101035616663667,3,0.5700864370341986
month,24,,17,^BVSP,0.912653841926709,0.00770915130022309,-2.208413513856174,3,0.4920569984995433
week,13,,17,^BVSP,0.9194828456851736,2.351455173268659e-10,-3.207499530235692,6,0.08712785607182907
